from,to,distance
189,220,1.8457
190,191,1.3408
190,221,1.5699
191,192,1.2046
191,222,1.9946
192,193,1.3347
192,223,1.8236
193,194,1.4854
193,224,2.0713
194,195,1.2289
194,225,1.5882
195,196,1.2860
195,226,1.3510
196,197,1.1450
196,227,1.5817
197,198,1.4347
197,228,2.1137
198,199,1.2107
198,229,1.7497
199,200,1.1415
199,230,1.2460
200,201,1.6065
200,231,1.5065
201,202,0.9153
201,232,1.7030
202,203,1.5060
202,233,1.2783
203,204,1.2215
203,234,2.0303
204,205,1.4743
204,235,1.4738
205,206,0.9990
205,236,1.3830
206,207,1.1987
206,237,1.4923
207,208,1.4873
207,238,1.8949
208,209,1.1271
208,239,2.0165
209,210,1.5660
209,240,1.3128
210,211,1.3012
210,241,1.5765
211,212,1.0500
211,242,2.0458
212,213,1.1445
212,243,1.5874
213,214,1.6463
213,244,1.5738
214,215,1.1632
214,245,1.3028
215,216,1.5291
215,246,1.8394
216,247,1.7250
217,218,1.6708
217,248,1.5434
218,219,1.2432
218,249,1.7939
219,220,1.3604
219,250,1.7665
220,221,1.2414
220,251,1.4547
221,222,1.1063
221,252,1.2580
222,223,1.2104
222,253,1.1299
223,224,1.2833
223,254,1.1851
224,225,1.3589
224,255,1.2208
225,226,1.0516
225,256,1.5389
226,227,1.4578
226,257,1.8180
227,228,1.2469
227,258,1.6430
228,229,1.1389
228,259,1.1334
229,230,1.3141
229,260,1.8573
230,231,1.2829
230,261,2.0015
231,232,1.1811
231,262,1.8742
232,233,1.5524
232,263,1.8806
233,234,0.9911
233,264,1.5044
234,235,1.5130
234,265,1.2777
235,236,1.0905
235,266,1.7246
236,237,1.6113
236,267,1.8211
237,238,1.1590
237,268,1.4604
238,239,1.3068
238,269,1.7463
239,240,0.9293
239,270,1.5947
240,241,1.6364
240,271,1.4398
241,242,1.3985
241,272,1.5905
242,243,1.1895
242,273,1.7066
243,244,1.1898
243,274,1.8384
244,245,1.0868
244,275,1.7092
245,246,1.1720
245,276,1.5641
246,247,1.5885
246,277,1.9055
247,278,1.4847
248,249,1.2412
248,279,1.8625
249,250,1.2128
249,280,1.5952
250,251,1.5372
250,281,1.5487
251,252,1.3203
251,282,1.9146
252,253,1.1703
252,283,1.6741
253,254,1.2190
253,284,1.9476
254,255,1.2375
254,285,2.0406
255,256,1.3339
255,286,1.9795
256,257,1.4874
256,287,1.3162
257,258,0.9388
257,288,1.4879
258,259,1.4975
258,289,1.7648
259,260,1.3253
259,290,1.7836
260,261,1.4938
260,291,1.5122
261,262,1.2457
261,292,1.7860
262,263,0.9986
262,293,1.4966
263,264,1.3739
263,294,1.2499
264,265,1.5214
264,295,2.1526
265,266,1.0700
265,296,1.6725
266,267,1.5384
266,297,1.5086
267,268,1.2280
267,298,1.6356
268,269,1.0784
268,299,1.5236
269,270,1.6882
269,300,1.2262
270,271,0.9108
270,301,1.4058
271,272,1.5931
271,302,2.0166
272,273,1.1934
272,303,1.7323
273,274,1.1090
273,304,1.0603
274,275,1.5371
274,305,1.6049
275,276,1.3858
275,306,1.5472
276,277,1.2685
276,307,1.9011
277,278,1.5271
277,308,1.5542
278,309,2.0239
279,280,1.2913
279,310,1.2775
280,281,1.2453
280,311,1.4688
281,282,1.5177
281,312,1.6487
282,283,1.4132
282,313,1.2249
283,284,1.2408
283,314,1.8643
284,285,1.0621
284,315,1.8425
285,286,1.5261
285,316,1.3521
286,287,1.2174
286,317,1.3203
287,288,1.1092
287,318,1.6077
288,289,1.3854
288,319,1.6166
289,290,1.3243
289,320,1.9659
290,291,0.9464
290,321,1.9279
291,292,1.3386
291,322,1.6527
292,293,1.4686
292,323,1.6185
293,294,0.9678
293,324,1.6210
294,295,1.3706
294,325,1.4900
295,296,1.6227
295,326,1.6806
296,297,1.3033
296,327,2.0199
297,298,0.9829
297,328,1.4492
298,299,1.6587
298,329,1.1989
299,300,1.1454
299,330,1.9994
300,301,1.3046
300,331,2.2235
301,302,1.2096
301,332,1.7957
302,303,1.3394
302,333,1.6937
303,304,1.0048
303,334,1.6453
304,305,1.3580
304,335,1.8696
305,306,1.3451
305,336,1.8085
306,307,1.2355
306,337,1.6427
307,308,1.2193
307,338,1.7705
308,309,1.2292
308,339,1.2694
309,340,1.5894
310,311,1.2589
310,341,1.5658
311,312,1.5979
311,342,1.5023
312,313,1.0098
312,343,1.6701
313,314,1.5270
313,344,1.6641
314,315,1.2011
314,345,1.7624
315,316,1.1373
315,346,1.4429
316,317,1.3241
316,347,1.9599
317,318,1.1515
317,348,1.9503
318,319,1.4086
318,349,1.7945
319,320,1.4280
319,350,1.7190
320,321,1.0590
320,351,1.5395
321,322,1.4466
321,352,1.2755
322,323,1.3007
322,353,1.5390
323,324,1.2197
323,354,1.2588
324,325,1.0788
324,355,1.7623
325,326,1.5526
325,356,2.1179
326,327,1.2224
326,357,1.3417
327,328,1.4566
327,358,1.1103
328,329,1.0171
328,359,1.7864
329,330,1.3767
329,360,1.6904
330,331,1.1983
330,361,1.7975
331,332,1.5118
331,362,1.6487
332,333,1.0673
332,363,1.5654
333,334,1.3829
333,364,1.1618
334,335,1.4660
334,365,1.5853
335,336,1.0414
335,366,1.9518
336,337,1.4320
336,367,1.3643
337,338,1.4311
337,368,1.5542
338,339,0.9523
338,369,1.3970
339,340,1.2659
339,370,1.9420
340,371,1.4278
341,342,1.4519
341,372,1.7455
342,343,1.2388
342,373,2.1404
343,344,1.4864
343,374,1.5260
344,345,1.1716
344,375,1.6803
345,346,1.4952
345,376,1.4229
346,347,1.1100
346,377,1.8151
347,348,1.4163
347,378,1.4611
348,349,1.0736
348,379,1.3409
349,350,1.4489
349,380,1.8303
350,351,0.8452
350,381,1.7252
351,352,1.4422
351,382,1.4997
352,353,1.4405
352,383,1.8024
353,354,1.0766
353,384,1.2271
354,355,1.5697
354,385,1.8236
355,356,1.1698
355,386,1.2752
356,357,1.0866
356,387,1.3787
357,358,1.4653
357,388,1.9827
358,359,1.1814
358,389,1.8948
359,360,1.6237
359,390,1.9492
360,361,1.1677
360,391,2.0327
361,362,1.4741
361,392,1.2590
362,363,0.9090
362,393,1.6785
363,364,1.5582
363,394,1.5386
364,365,1.2375
364,395,2.1891
365,366,1.0617
365,396,1.8830
366,367,1.5021
366,397,1.2406
367,368,0.9868
367,398,1.5131
368,369,1.3836
368,399,1.6670
369,370,1.5368
369,400,1.5737
370,371,1.1964
370,401,1.5636
371,402,1.7408
372,373,1.1125
372,403,1.8030
373,374,1.1631
373,404,1.4466
374,375,1.5906
374,405,1.6161
375,376,1.0304
375,406,1.5349
376,377,1.3828
376,407,1.7299
377,378,1.1712
377,408,1.5103
378,379,1.2536
378,409,1.7525
379,380,1.4388
379,410,2.0189
380,381,1.0460
380,411,1.5589
381,382,1.6285
381,412,1.7646
382,383,1.1451
382,413,1.3024
383,384,1.4116
383,414,1.7162
384,385,0.9431
384,415,2.1193
385,386,1.4448
385,416,1.5660
386,387,1.0591
386,417,1.9816
387,388,1.6949
387,418,1.6823
388,389,0.9240
388,419,1.2782
389,390,1.4697
389,420,1.5634
390,391,1.2658
390,421,1.5084
391,392,1.4509
391,422,1.7126
392,393,1.0639
392,423,1.7047
393,394,1.3573
393,424,1.4698
394,395,1.3426
394,425,1.8316
395,396,1.4376
395,426,1.0660
396,397,1.2818
396,427,1.6440
397,398,1.3340
397,428,1.9282
398,399,1.2026
398,429,1.4193
399,400,1.0062
399,430,1.8612
400,401,1.6228
400,431,1.9059
401,402,0.8327
401,432,1.2702
402,433,1.4932
403,404,1.3579
403,434,1.3649
404,405,1.1482
404,435,1.6296
405,406,1.4574
405,436,1.4365
406,407,1.0541
406,437,2.0570
407,408,1.1699
407,438,1.4429
408,409,1.5911
408,439,1.2251
409,410,1.0983
409,440,1.3182
410,411,1.4799
410,441,1.1174
411,412,1.1133
411,442,1.7707
412,413,1.4013
412,443,1.0843
413,414,1.4866
413,444,1.8157
414,415,1.0580
414,445,1.6624
415,416,1.2863
415,446,1.2294
416,417,1.2410
416,447,1.4050
417,418,1.1303
417,448,1.4637
418,419,1.6724
418,449,1.5764
419,420,1.1221
419,450,1.9831
420,421,1.3532
420,451,2.0290
421,422,1.2686
421,452,1.3807
422,423,1.0312
422,453,1.5092
423,424,1.4970
423,454,1.4094
424,425,0.8995
424,455,1.4741
425,426,1.6420
425,456,1.2951
426,427,1.5440
426,457,1.9689
427,428,0.9810
427,458,1.4445
428,429,1.4218
428,459,1.5778
429,430,1.2655
429,460,1.9808
430,431,1.4939
430,461,1.4761
431,432,1.2749
431,462,1.6129
432,433,1.0582
432,463,1.8741
433,464,1.9048
434,435,1.4156
434,465,1.7158
435,436,0.9345
435,466,1.4034
436,437,1.5955
436,467,1.9081
437,438,1.4631
437,468,1.4038
438,439,1.0325
438,469,2.0239
439,440,1.1565
439,470,2.0563
440,441,1.5424
440,471,1.9882
441,442,1.3258
441,472,1.8612
442,443,1.2363
442,473,1.6775
443,444,1.3367
443,474,2.1486
444,445,1.1909
444,475,1.8709
445,446,1.4910
445,476,1.8379
446,447,1.0266
446,477,1.6907
447,448,1.1978
447,478,1.4979
448,449,1.4288
448,479,1.6123
449,450,1.1498
449,480,1.6806
450,451,1.4404
450,481,1.5403
451,452,1.2939
451,482,1.0751
452,453,1.3737
452,483,1.4633
453,454,1.2575
453,484,1.5377
454,455,1.4371
454,485,1.7486
455,456,1.2125
455,486,1.8272
456,457,1.0538
456,487,1.6379
457,458,1.3931
457,488,1.3473
458,459,1.3084
458,489,1.4025
459,460,1.3169
459,490,1.2433
460,461,1.2907
460,491,1.2920
461,462,0.9588
461,492,1.6450
462,463,1.4003
462,493,1.8102
463,464,1.0290
463,494,1.8231
464,495,1.4106
465,466,0.9512
465,496,1.7496
466,467,1.6962
466,497,2.1178
467,468,1.2284
467,498,1.5298
468,469,0.9473
468,499,1.8872
469,470,1.3707
469,500,1.1634
470,471,1.3907
470,501,1.4562
471,472,0.9874
471,502,1.3378
472,473,1.3329
472,503,1.5195
473,474,1.6194
473,504,1.5496
474,475,1.3271
474,505,1.4237
475,476,1.1798
475,506,1.6076
476,477,1.3096
476,507,1.5254
477,478,1.1524
477,508,1.4651
478,479,1.3564
478,509,1.6551
479,480,1.2213
479,510,1.4737
480,481,1.4397
480,511,1.7480
481,482,1.0134
481,512,1.1797
482,483,1.5857
482,513,1.5791
483,484,1.3195
483,514,1.7351
484,485,0.8576
484,515,1.4631
485,486,1.7277
485,516,1.9000
486,487,1.0605
486,517,1.0945
487,488,1.5318
487,518,1.5748
488,489,1.0349
488,519,1.6986
489,490,1.4623
489,520,1.8985
490,491,1.0398
490,521,2.0453
491,492,1.4451
491,522,2.0311
492,493,1.1089
492,523,1.2587
493,494,1.1321
493,524,1.6264
494,495,1.2477
494,525,1.6808
495,526,1.6943
496,497,1.1095
496,527,1.9304
497,498,1.5112
497,528,1.3234
498,499,1.5117
498,529,1.8198
499,500,1.2946
499,530,1.6373
500,501,1.4334
500,531,1.6042
501,502,0.9732
501,532,1.3533
502,503,1.1238
502,533,1.7947
503,504,1.4867
503,534,1.7588
504,505,1.3566
504,535,1.4106
505,506,0.9463
505,536,1.6021
506,507,1.3745
506,537,1.7345
507,508,1.4817
507,538,1.5506
508,509,1.3587
508,539,2.0079
509,510,0.9852
509,540,1.8827
510,511,1.3819
510,541,1.7051
511,512,1.6139
511,542,1.3277
512,513,1.2397
512,543,1.8001
513,514,0.8957
513,544,1.8894
514,515,1.2816
514,545,2.1190
515,516,1.2119
515,546,1.9917
516,517,1.6940
516,547,1.3013
517,518,1.0330
517,548,2.1340
518,519,1.1216
518,549,1.8449
519,520,1.5399
519,550,1.7165
520,521,1.2322
520,551,1.3667
521,522,1.2761
521,552,1.6307
522,523,1.3251
522,553,1.5954
523,524,1.1594
523,554,1.9348
524,525,1.6748
524,555,1.3809
525,526,1.0652
525,556,1.5677
526,557,1.3627
527,528,1.4624
527,558,1.2798
528,529,1.3085
528,559,1.6896
529,530,1.0574
529,560,1.7357
530,531,1.6173
530,561,1.5802
531,532,1.0896
531,562,2.0004
532,533,1.4419
532,563,2.1915
533,534,1.4948
533,564,1.3918
534,535,0.9940
534,565,1.8914
535,536,1.0799
535,566,1.5093
536,537,1.6371
536,567,1.8020
537,538,1.2153
537,568,1.4655
538,539,0.9795
538,569,1.6467
539,540,1.2757
539,570,1.6321
540,541,1.3721
540,571,1.5962
541,542,1.0780
541,572,1.6414
542,543,1.5437
542,573,1.8641
543,544,1.0000
543,574,1.4284
544,545,1.2648
544,575,1.4940
545,546,1.2715
545,576,1.4584
546,547,1.6515
546,577,1.5188
547,548,1.2537
547,578,1.8539
548,549,1.2680
548,579,1.5946
549,550,1.0493
549,580,1.5210
550,551,1.5302
550,581,1.8503
551,552,1.3830
551,582,1.8449
552,553,1.3076
552,583,1.3929
553,554,0.9501
553,584,1.2024
554,555,1.1873
554,585,1.3685
555,556,1.2638
555,586,1.4086
556,557,1.6089
556,587,1.2248
557,588,1.6757
558,559,1.2862
558,589,1.8377
559,560,1.3523
559,590,1.7833
560,561,1.0754
560,591,1.1175
561,562,0.9682
561,592,1.1536
562,563,1.6708
562,593,1.8442
563,564,1.0241
563,594,1.3933
564,565,1.3510
564,595,1.9052
565,566,1.1292
565,596,1.2445
566,567,1.5761
566,597,1.6550
567,568,1.0866
567,598,1.4592
568,569,1.2102
568,599,1.9513
569,570,1.3515
569,600,1.7556
570,571,1.3367
570,601,1.5220
571,572,1.4485
571,602,1.6003
572,573,1.2083
572,603,1.6079
573,574,1.0935
573,604,1.2227
574,575,1.5417
574,605,1.6506
575,576,1.1333
575,606,2.1038
576,577,1.3642
576,607,1.6730
577,578,1.1587
577,608,1.7193
578,579,1.1939
578,609,1.4252
579,580,1.3583
579,610,1.5515
580,581,1.3685
580,611,1.7623
581,582,1.0350
581,612,1.6767
582,583,1.5453
582,613,1.7103
583,584,1.1350
583,614,1.6585
584,585,1.1816
584,615,1.9827
585,586,1.3531
585,616,1.9180
586,587,1.4761
586,617,1.8581
587,588,1.0779
587,618,1.6620
588,619,1.6987
589,590,1.4128
589,620,1.1973
590,591,1.3755
590,621,1.2901
591,592,0.8331
591,622,1.6060
592,593,1.7738
592,623,1.6922
593,594,1.1336
593,624,1.5781
594,595,1.1814
594,625,1.5723
595,596,1.1247
595,626,1.5271
596,597,1.6544
596,627,2.1312
597,598,1.2860
597,628,1.9307
598,599,0.9039
598,629,1.4353
599,600,1.3354
599,630,1.1189
600,601,1.4073
600,631,1.1837
601,602,1.1559
601,632,1.4603
602,603,1.2685
602,633,1.6875
603,604,1.3503
603,634,1.5573
604,605,1.2568
604,635,1.7911
605,606,1.2824
605,636,1.6461
606,607,1.4970
606,637,1.2134
607,608,0.9653
607,638,1.3688
608,609,1.3102
608,639,1.6123
609,610,1.5674
609,640,1.5645
610,611,0.9641
610,641,1.6819
611,612,1.4179
611,642,1.6772
612,613,1.3901
612,643,1.7126
613,614,1.3536
613,644,1.3465
614,615,1.1139
614,645,1.4461
615,616,1.3721
615,646,1.8766
616,617,0.8980
616,647,1.4717
617,618,1.4487
617,648,1.8183
618,619,1.1821
618,649,1.8235
619,650,1.9557
620,621,1.2394
620,651,2.1184
621,622,1.4564
621,652,1.8585
622,623,1.2727
622,653,2.0070
623,624,1.2379
623,654,1.8176
624,625,1.2010
624,655,1.1965
625,626,1.4220
625,656,1.9005
626,627,1.1066
626,657,1.4419
627,628,1.3589
627,658,1.1046
628,629,1.2096
628,659,1.1593
629,630,1.0542
629,660,1.9584
630,631,1.6773
630,661,1.5488
631,632,1.1737
631,662,2.0802
632,633,0.9895
632,663,1.6606
633,634,1.3994
633,664,1.8515
634,635,1.3049
634,665,1.9832
635,636,1.1948
635,666,1.6156
636,637,1.2769
636,667,1.9515
637,638,1.3518
637,668,1.7211
638,639,1.3138
638,669,1.8823
639,640,1.0844
639,670,1.4607
640,641,1.4084
640,671,2.1042
641,642,1.4437
641,672,1.7175
642,643,1.3702
642,673,1.7678
643,644,1.1704
643,674,1.3612
644,645,1.1460
644,675,1.6473
645,646,1.5278
645,676,2.1616
646,647,1.2605
646,677,1.5342
647,648,1.1674
647,678,1.5242
648,649,1.5418
648,679,1.5793
649,650,1.2280
649,680,1.4389
650,681,1.6517
651,652,1.1530
651,682,1.5905
652,653,1.2045
652,683,1.7681
653,654,1.2392
653,684,1.5041
654,655,1.1873
654,685,1.5260
655,656,1.4784
655,686,1.7277
656,657,1.1770
656,687,1.0377
657,658,1.6141
657,688,1.6779
658,659,1.2192
658,689,1.8541
659,660,1.3958
659,690,2.1522
660,661,1.1083
660,691,1.4968
661,662,1.2451
661,692,1.6805
662,663,1.2964
662,693,1.6809
663,664,1.5893
663,694,1.4872
664,665,0.9519
664,695,1.4214
665,666,1.4000
665,696,1.1450
666,667,1.1791
666,697,1.8738
667,668,1.2886
667,698,1.6550
668,669,1.3528
668,699,1.4005
669,670,1.1940
669,700,1.3418
670,671,1.3479
670,701,1.5610
671,672,1.2053
671,702,1.4002
672,673,1.5674
672,703,1.6650
673,674,0.9559
673,704,1.0412
674,675,1.3804
674,705,1.4754
675,676,1.4514
675,706,1.6469
676,677,0.9213
676,707,1.1642
677,678,1.5501
677,708,1.5275
678,679,1.2778
678,709,2.1039
679,680,1.4884
679,710,1.3910
680,681,1.0878
680,711,2.1931
681,712,1.3213
682,683,1.1963
682,713,1.5741
683,684,1.6845
683,714,1.1964
684,685,1.0166
684,715,1.8672
685,686,1.0458
685,716,1.9480
686,687,1.5068
686,717,1.9217
687,688,1.5078
687,718,1.8109
688,689,0.7756
688,719,1.8185
689,690,1.7015
689,720,1.5337
690,691,1.2450
690,721,1.3164
691,692,1.0556
691,722,1.6040
692,693,1.5282
692,723,1.5867
693,694,1.3373
693,724,1.3900
694,695,0.9259
694,725,1.5750
695,696,1.4022
695,726,1.4310
696,697,1.4855
696,727,1.9330
697,698,1.2471
697,728,1.4348
698,699,1.2032
698,729,1.6413
699,700,1.1417
699,730,1.7918
700,701,1.6324
700,731,1.9858
701,702,0.9130
701,732,1.4408
702,703,1.5275
702,733,1.9216
703,704,1.3438
703,734,1.6124
704,705,1.0789
704,735,2.2344
705,706,1.4974
705,736,1.8236
706,707,1.1626
706,737,1.6765
707,708,1.1234
707,738,1.9376
708,709,1.2627
708,739,1.6186
709,710,1.5048
709,740,1.3444
710,711,1.3137
710,741,1.3297
711,712,1.2736
711,742,1.1753
712,743,1.6425
713,714,0.8096
713,744,1.5077
714,715,1.4620
714,745,2.0212
715,716,1.3983
715,746,1.7516
716,717,1.3094
716,747,1.7827
717,718,0.9518
717,748,1.1666
718,719,1.6476
718,749,1.6792
719,720,1.2613
719,750,1.7034
720,721,1.2278
720,751,1.5972
721,722,1.3182
721,752,1.8504
722,723,1.2912
722,753,1.2510
723,724,1.0447
723,754,1.8224
724,725,1.2376
724,755,1.6938
725,726,1.6241
725,756,2.0609
726,727,1.3195
726,757,1.8311
727,728,0.8862
727,758,1.6696
728,729,1.2318
728,759,1.5350
729,730,1.5727
729,760,1.2908
730,731,1.0813
730,761,1.8659
731,732,1.3608
731,762,1.3114
732,733,1.5263
732,763,1.7053
733,734,1.0764
733,764,1.3353
734,735,1.3115
734,765,1.2507
735,736,1.5023
735,766,1.3173
736,737,1.1937
736,767,1.8605
737,738,0.9028
737,768,1.8695
738,739,1.6308
738,769,1.2401
739,740,1.0045
739,770,1.7907
740,741,1.4575
740,771,1.4933
741,742,1.2350
741,772,1.9179
742,743,1.3016
742,773,1.9686
743,774,1.9398
744,745,1.4502
744,775,1.9159
745,746,1.2189
745,776,1.1344
746,747,1.5933
746,777,1.0916
747,748,1.2453
747,778,1.0187
748,749,1.3503
748,779,1.8076
749,750,1.3470
749,780,1.7400
750,751,1.1362
750,781,1.2740
751,752,1.0520
751,782,2.1702
752,753,1.6928
752,783,1.4967
753,754,1.0741
753,784,2.1339
754,755,1.3730
754,785,2.0116
755,756,1.4296
755,786,1.5404
756,757,1.1788
756,787,1.4000
757,758,1.1454
757,788,1.8806
758,759,1.3205
758,789,1.3800
759,760,0.9907
759,790,1.6433
760,761,1.4825
760,791,1.4902
761,762,1.3063
761,792,1.2505
762,763,1.1069
762,793,1.5759
763,764,1.6292
763,794,1.7048
764,765,1.2196
764,795,1.9072
765,766,0.8669
765,796,1.5994
766,767,1.4397
766,797,1.6543
767,768,1.2521
767,798,1.2609
768,769,1.4707
768,799,1.3668
769,770,1.1798
769,800,2.1837
770,771,1.1724
770,801,1.5085
771,772,1.6749
771,802,1.8245
772,773,1.1821
772,803,1.6299
773,774,1.2190
773,804,1.1343
774,805,1.4313
775,776,1.1832
775,806,1.5291
776,777,1.5509
776,807,1.8199
777,778,1.1387
777,808,1.8497
778,779,1.3980
778,809,1.7974
779,780,1.1648
779,810,1.6894
780,781,1.1434
780,811,1.7092
781,782,1.5754
781,812,1.6120
782,783,1.3163
782,813,1.2593
783,784,0.9261
783,814,1.4102
784,785,1.5434
784,815,1.3257
785,786,1.3179
785,816,1.4659
786,787,1.3560
786,817,1.9746
787,788,1.1698
787,818,1.6403
788,789,1.4706
788,819,1.3206
789,790,1.2378
